Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
113;HL7 Version 3 Standard: Laboratory, Release 1 Result Topic;Orders and Observations Work Group;;Clinical;Austin Kreisler;Archived;25/09/2006;25/09/2006;;2010 Sept WGM/Ballot;;;http://svn.hl7.nscee.edu/svn/hl7v3/labsig/trunk;;;21/09/2006 08:00
235;HL7 V3 Std: Pharmacy, Release 1: Common Dispense and Supply Event;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2012 Jan WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
109;General Observation Related CMETs - Phase I;Orders and Observations Work Group;;Administrative;Hans Buitendijk, Patrick Loyd, Gunther Schadow;Archived;25/09/2006;25/09/2006;Ballot - STU;2015 Jan WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
240;HL7 V3 Std: Pharmacy, Release 1: Dosage Instruction;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);- Select One -;Create New Standard;;;;;25/09/2006 08:00
115;MCCI Release 2;Infrastructure and Messaging Work Group;;Infrastructure;Graham Grieve;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2009 Jany WGM;;;;;;25/09/2006 08:00
246;HL7 V3 Std: Pharmacy, Release 1: Patient-Related Device Query;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);- Select One -;Create New Standard;;;;;25/09/2006 08:00
119;Control Act CMETs;Infrastructure and Messaging Work Group;;;Graham Grieve;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;;;;;;25/09/2006 08:00
241;HL7 V3 Std: Pharmacy, Release 1: Generic Patient-Related Pharmacy Query;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;;;Ballot - Normative (no STU);2013 Sept WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
103;Care Provision DSTU - Topic Professional Services;Patient Care Work Group;;Clinical;William Goossen;Archived;25/09/2006;25/09/2006;Ballot - STU;2013 Jan WGM/Ballot;;;http://www.hl7.org/dstucomments/showdetail.cfm?dstuid=14;;;25/09/2006 08:00
121;Templates Project;Templates Work Group;;;Mark Shafarman;Archived;25/09/2006;25/09/2006;;;Create New Standard;;;;;25/09/2006 08:00
129;Infrastructure: SOA4HL7 Methodology;Services Oriented Architecture Work Group;;Infrastructure;Alan Honey;Archived;25/09/2006;25/09/2006;Ballot - Informative;2009 Jany WGM;;;http://hssp.wikispaces.com/PracticalGuide;;;25/09/2006 08:00
239;HL7 V3 Std: Pharmacy, Release 1: Dosage Form Vocabulary;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;Create New Standard;;;;;25/09/2006 08:00
131;Clinical Genomics Pedigree Topic.;Clinical Genomics Work Group;;Administrative;Amnon Shabo;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;Create New Standard;;;;;25/09/2006 08:00
127;A_Charge CMET with Grouper with variants;Financial Management Work Group;;;Kathleen Connor;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;;;;;V2 Messages-Clinical;25/09/2006 08:00
107;Care Provision DSTU - Topic Allergy & Intolerances;Patient Care Work Group;;Clinical;William Goosen;Archived;25/09/2006;25/09/2006;Ballot - STU;2009 Jany WGM;Create New Standard;;;;;25/09/2006 08:00
100;Canadian Public Health Surveillance;Scheduling and Logistics Work Group;;None;Jane Foard;Archived;25/09/2006;25/09/2006;;;Create New Standard;;;;;25/09/2006 08:00
116;ITS and Data Types R2;Infrastructure and Messaging Work Group;;Infrastructure;Graham Grieve;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2009 Jany WGM;;;;;;25/09/2006 08:00
133;CDA IG for Public Health Reporting, Healthcare Associated Infections;Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;25/09/2006;25/09/2006;;;;;;;V3 Documents-Clinical (e.g. CDA);25/09/2006 08:00
110;Order Domain - Order Pattern - Release 1;Orders and Observations Work Group;Imaging Integration Work Group, Pharmacy Work Group;Administrative;Hans Buitendijk, Patrick Loyd, Gunther Schadow, Austin Kreisler, Rob Hausam;Archived;15/12/2008;25/09/2006;Ballot - STU;2015 Jan WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Orders_and_Requests_Pattern;;V3 Messages-Clinical;25/09/2006 08:00
108;"HL7: Anatomic Pathology; Anatomic Pathology CDA Project.";Anatomic Pathology Work Group;;Clinical;John Gilbertson;Archived;25/09/2006;25/09/2006;;;Create New Standard;;;;;25/09/2006 08:00
134;CDA IGs for Common Clinical Documents;Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;25/09/2006;25/09/2006;Ballot - STU;2012 Jan WGM/Ballot;;;http://wiki.hl7.org/index.php?title=CDA_R2_Implementation_Guides_in_Development;;V3 Documents-Clinical (e.g. CDA);25/09/2006 08:00
249;HL7 V3 Std: Pharmacy, Release 1: Pharmacy CMETs;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2015 Sept WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
117;Transport Specification - ebXML R2;Implementable Technology Specifications Work Group;;Infrastructure;Paul Knapp;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2010 May WGM/Ballot;;;;;;25/09/2006 08:00
122;CMET A_Charge_WithoutGroup CMET;Financial Management Work Group;;;Susan Lepping;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;;;;;;25/09/2006 08:00
236;HL7 V3 Std: Pharmacy, Release 1: Common Order;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2012 Jan WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=Documents_POOO_RM200999, 
http://wiki.hl7.org/index.php?title=Orders_Models";;;25/09/2006 08:00
111;Observation Request Template - Release 1;Orders and Observations Work Group;;Administrative;Hans Buitendijk, Patrick Loyd, Rob Hausam, Ken McCaslin, Lorraine Constable;Archived;15/12/2008;25/09/2006;Ballot - STU;2016 Sept WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
120;HL7 UK V3 Standard;International Mentoring Committee;;Organizational Support;Hugh Glover;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2009 Jany WGM;Create New Standard;;;;;25/09/2006 08:00
245;HL7 V3 Std: Pharmacy, Release 1: Patient Medication Contraindication Query;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;;;Ballot - Normative (no STU);2015 May WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
105;Care Provision DSTU - Topic Care Plan;Patient Care Work Group;;Clinical;William Goossen;Archived;25/09/2006;25/09/2006;Ballot - Informative;- Select One -;Create New Standard;;;;;25/09/2006 08:00
106;Care Provision DSTU - Topic Care Composition;Patient Care Work Group;;Clinical;William Goossen;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2012 May WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Care_Composition;;;25/09/2006 08:00
104;Care Provision DSTU - Topic Care Plan;Patient Care Work Group;;Clinical;William Goossen;Archived;25/09/2006;25/09/2006;Ballot - STU;2009 Jany WGM;Create New Standard;;;;;25/09/2006 08:00
247;HL7 V3 Std: Pharmacy, Release 1: Patient-Related Medication Query;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2009 Jany WGM;Create New Standard;;;;;25/09/2006 08:00
112;Specimen Process Step Topic;Orders and Observations Work Group;;Clinical;Austin Kreisler;Archived;25/09/2006;25/09/2006;;2012 May WGM/Ballot;;;;;;25/09/2006 08:00
233;CMET A_Charge_WithGroup CMET;Financial Management Work Group;;;Susan Lepping;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;;;;;;25/09/2006 08:00
243;HL7 V3 Std: Pharmacy, Release 1: Medication Order;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2009 Jany WGM;;;;;;25/09/2006 08:00
102;Individual Case Safety Report (ICSR) Release 2;Biomedical Research and Regulation Work Group, Patient Safety Work Group;;Clinical;Mead Walker;Archived;25/09/2006;25/09/2006;;;;;;;;25/09/2006 08:00
237;HL7 V3 Std: Pharmacy, Release 1: Device Dispense and Supply Event;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2012 Sept WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
238;HL7 V3 Std: Pharmacy, Release 1: Device Order;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2012 May WGM/Ballot;;;;;;25/09/2006 08:00
128;FICR - Financial Claims and Reimbursement Release 4 Project;Financial Management Work Group;;Administrative;Francine Kitchen;Archived;25/09/2006;25/09/2006;;;;;;;;25/09/2006 08:00
242;HL7 V3 Std: Release 1: Medication Dispense and Supply Event;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2012 Sept WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
248;HL7 V3 Std: Pharmacy, Release 1: Pharmacy Shared Messages;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2011 Jan WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
132;Clinical Genomics Genotype Topic;Clinical Genomics Work Group;;Administrative;Amnon Shabo;Archived;25/09/2006;25/09/2006;;;Create New Standard;;;;;25/09/2006 08:00
126;A_Charge CMET without Grouper with variants;Financial Management Work Group;;;Kathleen Connor;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;;;;;V2 Messages-Clinical;25/09/2006 08:00
125;FICO - Financial Coverage Domain A_Coverage CMET Project;Financial Management Work Group;;;Kathleen Connor;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);;;;;;;25/09/2006 08:00
135;Additional Information Specification Documents Conversion from CDA R1.0 to CDA R2.0;Payer/Provider Info Exchange Work Group;;Clinical;Penny Sanchez;Archived;25/09/2006;25/09/2006;;2013 May WGM/Ballot;;;;;V3 Documents-Clinical (e.g. CDA);25/09/2006 08:00
244;HL7 V3 Std: Pharmacy, Release 1: Medication Statement and Administration Event;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;25/09/2006;25/09/2006;Ballot - Normative (no STU);2013 Sept WGM/Ballot;Create New Standard;;;;;25/09/2006 08:00
101;SPL IG for FDA Content of Labeling;Biomedical Research and Regulation Work Group;;Clinical;Randy Levin;Archived;25/09/2006;25/09/2006;Ballot - Informative;2009 Jany WGM;;;;;;26/09/2006 08:00
130;Infobutton URL-based IG;Clinical Decision Support Work Group;;Administrative;Craig Parker;Archived;25/09/2006;25/09/2006;Ballot - Informative;2010 May WGM/Ballot;;;http://www.hl7.org/dstucomments/;;;25/10/2006 08:00
313;V2 OO IG;Orders and Observations Work Group;;Administrative;Patrick E. Loyd;Archived;;;Ballot - Informative;2009 Jany WGM;IG;;;;V2 Messages-Clinical;24/01/2007 08:00
312;Blood, Tissue, and Organ - Release 1;Orders and Observations Work Group;;Administrative;Diana Perez, Patrick E. Loyd;Archived;24/01/2007;24/01/2007;Ballot - Normative (no STU);2015 Sept WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=BTO;;V3 Messages-Clinical;24/01/2007 08:00
318;Patient Administration Version 3 Registries;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;29/01/2007;29/01/2007;;;Revise Current Standard;;;;;29/01/2007 08:00
315;Common Message Element Types (COCT) Release 6;Modeling and Methodology Work Group;;Infrastructure;Dale Nelson;Archived;27/01/2007;27/01/2007;;;Revise Current Standard;;;;;29/01/2007 08:00
317;Patient Encounters;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;29/01/2007;29/01/2007;;;Supplement to a Current Standard;;;;;29/01/2007 08:00
316;XML ITS R2;Implementable Technology Specifications Work Group;;Infrastructure;Lloyd McKenzie;Archived;29/01/2007;29/01/2007;Ballot - Normative (no STU);2014 Sept WGM/Ballot;Create New Standard, Revise Current Standard;;;;;29/01/2007 08:00
164;"eLearning - CD Rom ""Intro to HL7""";Education Work Group;;Organizational Support;Jim McCain;Archived;;;- Other -;;----------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;;;;;26/03/2007 08:00
198;DSTU Testing toolkit/project (Guidance of what is involved in DSTU testing);Conformance Work Group;;Infrastructure;Jason Rock;Archived;02/04/2007;02/04/2007;;2010 May WGM/Ballot;;;http://wiki.hl7.org/index.php?title=HL7_DSTU_testing_toolkit;;- Non Product Project -;02/04/2007 08:00
225;IG Survey and Registry.;Conformance Work Group;;Infrastructure;Sarah Ryan;Archived;15/04/2007;15/04/2007;- Other -;2011 Jan WGM/Ballot;;;;;- Non Product Project -;16/04/2007 08:00
197;HL7 Wiki Acceptable Usage Policy;Publishing, Electronic Services and Tools Work Group;;Organizational Support;Charlie McKay, Ken McCaslin;Archived;;;- Other -;2010 Sept WGM/Ballot;;;;;- Non Product Project -;01/05/2007 08:00
176;Anatomic Pathology CDA Project;Anatomic Pathology Work Group;;Clinical;John Gilbertson;Archived;22/05/2007;22/05/2007;Ballot - STU;- Select One -;Create New Standard;;;;;14/05/2007 08:00
200;Privacy, Access and Security Services (PASS) Alpha Project;Services Oriented Architecture Work Group;Architectural Review Work Group, Community-Based Care and Privacy (CBCP) Work Group, Security Work Group;Infrastructure;Don Jorgenson;Archived;07/07/2015;27/07/2015;Ballot - STU;2016 Jan WGM/Ballot;Create New Standard;;http://hssp-security.wikispaces.com/;;V3 Messages-Administrative;14/05/2007 08:00
169;Basic Imaging Reports in CDA and DICOM;Imaging Integration Work Group;;None;Fred Behlen;Archived;11/07/2007;11/07/2007;Ballot - Informative;;;;;;V3 Documents-Clinical (e.g. CDA);14/05/2007 08:00
171;Real Time Location Tracking Messaging;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;22/05/2007;22/05/2007;Ballot - STU;2009 Jany WGM;;;;;;14/05/2007 08:00
335;XML ITS R1.1;Implementable Technology Specifications Work Group;;Infrastructure;Paul Knapp;Archived;14/05/2007;14/05/2007;Ballot - STU to Normative;2015 Jan WGM/Ballot;Revise Current Standard;;http://wiki.hl7.org/index.php?title=XML_ITS_Structures_r1.1;;V3 Messages-Infrastructure;14/05/2007 08:00
170;Administrations for Medicinal Substances (AfMS) terminology (Ongoing);Pharmacy Work Group;Vocabulary Work Group;Clinical, Infrastructure;Julie James;Archived;22/05/2007;22/05/2007;;2014 Sept WGM/Ballot;;;;;;14/05/2007 08:00
189;HL7 V3 Std: Medication, Release 1: Drug Knowledge-Base Query;Pharmacy Work Group;;Clinical;Robert Hallowell;Archived;29/01/2007;29/01/2007;Ballot - Normative (no STU);2013 Sept WGM/Ballot;Create New Standard;;;;;14/05/2007 08:00
