Source;Target;Weight
1556;Rob Hausam;1.0
1491;Rob McClure and Carol Macumber;1.0
1552;John Ritter;1.0
1552;Gora Datta;1.0
1567;Lisa Nelson;1.0
1565;Dave Hill;1.0
1572;Dave Hill;1.0
1571;Dave Hill;1.0
1575;AbdulMalik Shakir;1.0
1576;Frank Oemig;1.0
1501;Gary Dickinson FHL7;1.0
1501;David Schlossman MD;1.0
1600;Mike Davis;1.0
1598;Bryn Rhodes;1.0
1607;Ioana Singureanu;1.0
1607;VA;1.0
1599;Christina Caraballo;1.0
1588;Mark Iantorno;1.0
1597;Carl Anderson;1.0
1553;Greg Zeller;1.0
1618;Gay Dolin;1.0
1609;Melva Peters;1.0
1573;Melva Peters;1.0
1610;Michael L. Brody;1.0
1610;DPM;1.0
1610;;1.0
1611;Nagesh Bashyam;1.0
1611;Brett Marquard;1.0
1608;Preston Lee;1.0
1613;Paul Knapp;1.0
1617;David Pyke;1.0
1626;Rien Wertheim;1.0
1626;Ward Westra;1.0
1615;Todd Cooper;1.0
1620;Stan Huff;1.0
1616;Cynthia Bush;1.0
1616;Sarah Gaunt;1.0
1627;Mike Tushan;1.0
1627;"Courtney Panaia-Rodi (Development);  Lisa Nelson (QA/Testing)";1.0
1634;Freida Hall;1.0
1614;Becky Gradl;1.0
1632;Lori Fourquet;1.0
1635;Paul Knapp;1.0
1631;Craig Newman;1.0
1639;Brett Marquard;1.0
1639;Eric Haas;1.0
1639;Gay Dolin;1.0
1636;Rhonda Facile;1.0
1636;Mike Hamidi;1.0
1643;Cynthia Bush;1.0
1643;Sarah Gaunt;1.0
1642;Eric Haas;1.0
1644;Jean Duteau;1.0
1645;Debi Willis;1.0
1646;Jan Oldenburg/Maria Moen;1.0
1651;Giorgio Cangioli;1.0
1656;Melanie Combs-Dyer;1.0
1534;SOA Work Group Co-Chairs;1.0
1650;Ashley Kras;1.0
1652;Maria D. Moen;1.0
1661;Barb Duteau;1.0
1654;Nadine Shehab;1.0
1655;Nadine Shehab;1.0
1653;Patrick Murta;1.0
1010;Claude Nanjo;1.0
1668;InM Co-Chairs;1.0
1672;OO Co-Chairs;1.0
1681;Gay Dolin;1.0
1680;Boston Children's Hospital;1.0
1704;Jean Duteau;1.0
1682;Brett Marquard;1.0
1695;Evelyn Gallego;1.0
1589;Mark Iantorno;1.0
1690;Robert Dieterle;1.0
1679;Logica Health;1.0
1683;David Pyke;1.0
1683;Craig Newman;1.0
1700;Alexander Goel (CAP);1.0
1686;Zabrina Gonzaga;1.0
1687;Caroline Potteiger;1.0
1689;Luis Maas and Brett Stringham;1.0
1691;Chris Pugliese;1.0
1692;Abderrazek Boufahja;1.0
1693;Lisa R. Nelson;1.0
1513;Yan Heras;1.0
1513;Linda Michaelsen;1.0
1513;Viet Nguyen;1.0
1699;Russell Leftwich;1.0
1694;Max Masnick;1.0
1697;Mark Roberts;1.0
1697;Adam Culbertson;1.0
1697;Cille Kissel;1.0
1703;Jean Duteau;1.0
1702;BRR CoChairs;1.0
1720;Dave Pyke;1.0
1720;Russ Leftwich;1.0
1707;Jonathan Whitby;1.0
1707;Chris Lindop;1.0
1715;CDS WG Co-Chairs;1.0
1712;OO Co-Chairs;1.0
1717;Meena Jambulingam;1.0
1717;Carmen Smiley;1.0
1717;Julie Maas;1.0
1718;Kit Cooper (Lantana);1.0
1725;Marc Duteau;1.0
1721;Lloyd McKenzie;1.0
1732;Natalee Agassi;1.0
1277;Todd Cooper;1.0
1728;Gary Dickinson;1.0
1674;PA Co-Chairs;1.0
1673;PA Co-Chairs;1.0
1675;PA Co-Chairs;1.0
1729;John D'Amore (More Informatics);1.0
1730;Enzenwa Dike;1.0
1731;Jamila Harley;1.0
1733;Gora Datta;1.0
1118;Robert Jenders;1.0
1736;Zabrina Gonzaga;1.0
1734;Melva Peters;1.0
1737;Diana Wright;1.0
1740;Michael Dubendris;1.0
1735;Melva Peters;1.0
1738;Rob McClure (MD Partners;1.0
1738;Inc.);1.0
1741;Preston Lee;1.0
1688;Pele Yu;1.0
1688;MD MS;1.0
1742;Matthew Rahn;1.0
1743;Shelly Spiro;1.0
1745;Anthony DiDonato;1.0
1746;Mike Padula;1.0
1746;Michael Tan;1.0
1744;Mica Carr;1.0
1753;ITS WG Co-Chairs;1.0
1751;FM WG Co-Chairs;1.0
1752;CG WG Co-Chairs;1.0
1748;ITS WG Co-Chairs;1.0
1750;FM WG Co-Chairs;1.0
1747;ITS WG Co-Chairs;1.0
1749;CQI WG Co-Chairs;1.0
1754;Martin Hurrell;1.0
1758;Isaac Vetter;1.0
1757;Bryn Rhodes;1.0
1756;Kit Cooper;1.0
1755;Sean Muir;1.0
