Source;Target;Weight
1490;FHIR Profile;1.0
1493;FHIR IG;1.0
1493;FHIR Profile;1.0
1494;FHIR IG;1.0
1494;FHIR Profile;1.0
1495;FHIR IG;1.0
1495;FHIR Profile;1.0
1502;FHIR IG;1.0
1502;FHIR Profile;1.0
1502;FHIR Resources;1.0
1497;FHIR IG;1.0
1499;FHIR IG;1.0
1504;Other;1.0
1507;Other;1.0
1505;FHIR IG;1.0
1521;Other;1.0
1509;FHIR IG;1.0
1509;FHIR Profile;1.0
1511;FHIR IG;1.0
1511;FHIR Profile;1.0
1591;NON-PROD;1.0
1523;Other;1.0
1515;FHIR IG;1.0
1514;FHIR IG;1.0
1517;FHIR IG;1.0
1520;V3 docs-clin;1.0
1518;FHIR IG;1.0
1554;Other;1.0
1525;FHIR IG;1.0
1525;FHIR Profile;1.0
1516;FHIR IG;1.0
1526;V3 docs-clin;1.0
1489;FHIR IG;1.0
1527;Other;1.0
1530;Other;1.0
1539;FHIR IG;1.0
1539;FHIR Profile;1.0
1539;FHIR Resources;1.0
1584;Other;1.0
1542;Guidance;1.0
1535;Guidance;1.0
1533;WP;1.0
1532;FHIR Exts;1.0
1532;FHIR IG;1.0
1540;FHIR IG;1.0
1540;FHIR Profile;1.0
1544;Other;1.0
1537;FHIR IG;1.0
1537;FHIR Profile;1.0
1538;FHIR IG;1.0
1585;Other;1.0
1541;FHIR IG;1.0
1541;FHIR Profile;1.0
1541;FHIR Resources;1.0
1555;Other;1.0
1549;FHIR Profile;1.0
1549;FHIR Resources;1.0
1543;FHIR Profile;1.0
1578;FHIR IG;1.0
1550;FHIR IG;1.0
1550;V2 msgs-Admin;1.0
1550;V2 msgs-clin;1.0
1556;Other;1.0
1491;FHIR Profile;1.0
1552;NEW PROD;1.0
1567;FHIR IG;1.0
1565;FHIR Profile;1.0
1565;FHIR Resources;1.0
1572;FHIR Profile;1.0
1572;FHIR Resources;1.0
1571;FHIR Profile;1.0
1571;FHIR Resources;1.0
1575;DAM;1.0
1576;Other;1.0
1501;Other;1.0
1600;V2 msgs-Admin;1.0
1600;V2 msgs-clin;1.0
1600;V2 msgs-infra;1.0
1598;WP;1.0
1607;FHIR IG;1.0
1599;Other;1.0
1588;Other;1.0
1597;Guidance;1.0
1553;Other;1.0
1618;FHIR IG;1.0
1618;FHIR Profile;1.0
1609;FHIR IG;1.0
1573;FHIR IG;1.0
1573;FHIR Profile;1.0
1610;FHIR Exts;1.0
1610;FHIR IG;1.0
1610;FHIR Profile;1.0
1611;Other;1.0
1608;Other;1.0
1613;FHIR IG;1.0
1613;FHIR Profile;1.0
1617;Other;1.0
1626;Other;1.0
1615;FHIR IG;1.0
1615;FHIR Profile;1.0
1615;Guidance;1.0
1620;FHIR IG;1.0
1616;Other;1.0
1627;Other;1.0
1634;Other;1.0
1614;FHIR IG;1.0
1632;DAM;1.0
1635;FHIR IG;1.0
1631;V2 msgs-clin;1.0
1639;Other;1.0
1636;FHIR IG;1.0
1643;FHIR IG;1.0
1642;FHIR IG;1.0
1644;FHIR IG;1.0
1645;Other;1.0
1646;WP;1.0
1651;FHIR IG;1.0
1656;FHIR Profile;1.0
1534;Other;1.0
1650;FHIR IG;1.0
1652;FHIR IG;1.0
1661;Other;1.0
1654;FHIR IG;1.0
1655;FHIR IG;1.0
1653;Other;1.0
1010;FHIR Profile;1.0
1010;FHIR Resources;1.0
1668;Other;1.0
1672;Other;1.0
1681;Other;1.0
1680;Other;1.0
1704;FHIR IG;1.0
1682;Other;1.0
1695;Other;1.0
1589;Other;1.0
1690;FHIR IG;1.0
1690;FHIR Profile;1.0
1679;Other;1.0
1683;Other;1.0
1700;FHIR IG;1.0
1686;FHIR IG;1.0
1687;Other;1.0
1689;FHIR IG;1.0
1691;Other;1.0
1692;FHIR IG;1.0
1693;HL7 policy;1.0
1513;FHIR IG;1.0
1699;DAM;1.0
1694;FHIR IG;1.0
1697;FHIR Exts;1.0
1697;FHIR IG;1.0
1697;FHIR Resources;1.0
1703;Other;1.0
1702;FHIR Profile;1.0
1720;FHIR IG;1.0
1707;FHIR IG;1.0
1715;Other;1.0
1712;Other;1.0
1717;FHIR IG;1.0
1718;Other;1.0
1725;Other;1.0
1721;Other;1.0
1732;Other;1.0
1277;FHIR Profile;1.0
1277;FHIR Resources;1.0
1728;FHIR IG;1.0
1674;Other;1.0
1673;Other;1.0
1675;Other;1.0
1729;Other;1.0
1730;Other;1.0
1731;FHIR IG;1.0
1733;Other;1.0
1118;Arden Syntax;1.0
1736;Other;1.0
1734;Other;1.0
1737;Other;1.0
1740;Other;1.0
1735;Other;1.0
1738;Other;1.0
1741;Other;1.0
1688;EHR;1.0
1742;FHIR IG;1.0
1743;FHIR IG;1.0
1745;FHIR IG;1.0
1746;WP;1.0
1744;FHIR IG;1.0
1753;Other;1.0
1751;Other;1.0
1752;Other;1.0
1748;Other;1.0
1750;Other;1.0
1747;Other;1.0
1749;Other;1.0
1754;FHIR IG;1.0
1758;Other;1.0
1757;FHIR IG;1.0
1756;FHIR IG;1.0
1755;DAM;1.0
1755;FHIR IG;1.0
