Id;Label;Name;Sponsors;Co_sponsors;Steering Division;Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Aliases;Project Document Repository;External Vocabularies;Products;Start Date
922;922;Laboratory Order Interface IG (LOI IG) DSTU;Orders and Observations Work Group;;Administrative;Hans Buitendijk/Ken McCaslin;STU - Test Period/Accepting Comments;10/09/2012;01/10/2012;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;LOI;"OO wiki (through May 2018): http://wiki.hl7.org/index.php?title=LOI_IG
OO website: https://www.hl7.org/Special/committees/orders/docs.cfm
OO Confluence (moving forward): http://confluence.hl7.org/display/OO

Interim items to move this project forward will also be posted on the S and I Framework wiki at: http://wiki.siframework.org/Laboratory+Orders+Interface+Initiative";;V2 Messages-Clinical;21/09/2012 08:00
973;973;HL7 Version 2 IG:  Laboratory Test Compendium Framework, Release 2;Orders and Observations Work Group;;Administrative;Freida Hall and John Mooney;STU - Test Period/Accepting Comments;05/02/2013;11/02/2013;Ballot - STU to Normative;2022 Sept WGM/Ballot;IG;;ONC S and I Framework eDOS WG wiki: http://wiki.siframework.org/LOI+-+eDOS;;V2 Messages-Clinical;29/01/2013 08:00
994;994;Develop FHIR resources for Financial Management;Financial Management Work Group;;Administrative;Paul Knapp;Active Project (Resources assigned to pjt);22/04/2013;29/04/2013;- Other -;2025 May WGM/Ballot;Supplement to a Current Standard;;http://wiki.hl7.org/index.php?title=Financial_Management_FHIR_Resource_Development;Don't Know;;15/04/2013 08:00
995;995;Usability Guidelines for EHR Systems;Electronic Health Records Work Group;Clinical Interoperability Council Work Group;Administrative;Donald T. Mon, John Ritter;Informative - Reconcile;22/04/2013;03/06/2013;Ballot - Informative;2021 Sept WGM/Ballot;Revise Current Standard;;Project documents will be stored on the EHR WG wiki: http://wiki.hl7.org/index.php?title=EHR.;;Electronic Health Record;15/04/2013 08:00
1002;1002;HL7 CDA IG for National Medical Care Surveys;Public Health Work Group;Structured Documents Work Group;Clinical;Brian Gugerty, Hetty Khan (CDC/NCHS);STU - Test Period/Accepting Comments;04/05/2015;13/05/2015;Ballot - STU to Normative;2024 Jan WGM/Ballot;Supplement to a Current Standard, IG;;"https://confluence.hl7.org/display/PHWG/Public+Health+Registries+Reporting

Project documents will be stored on the PHER WG wiki: http://wiki.hl7.org/index.php?title=Public_Health_and_Emergency_Response_work_group_(PHER) ";;V3 Documents-Clinical (e.g. CDA);14/05/2013 08:00
1005;1005;CDA Section for Digital Signatures and Delegation of Rights;Structured Documents Work Group;Payer/Provider Info Exchange Work Group, Security Work Group;Infrastructure;Robert Dieterle, Daniel Kalwa;STU - Test Period/Accepting Comments;12/06/2013;24/06/2013;Ballot - STU to Normative;2025 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard, IG;;http://wiki.siframework.org/esMD+Harmonization+of+Author+of+Record+Level+2;;V3 Documents-Clinical (e.g. CDA);20/05/2013 08:00
1007;1007;HL7 over HTTP;Implementable Technology Specifications Work Group;;Infrastructure;TBD;STU - Reconcile;22/05/2013;03/06/2013;Ballot - STU to Normative;2022 Jan WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=HL7_Over_HTTP;;V2 Messages-Infrastructure;21/05/2013 08:00
1009;1009;V3 Food and Medication Preferences Clinical Messages;Orders and Observations Work Group;Patient Care Work Group, Pharmacy Work Group;Administrative;Becky Gradl;Informative - Request Publication;12/06/2013;24/06/2013;Ballot - Informative;2025 Sept WGM/Ballot;Create New Standard;;Patient Care repository - http://gforge.hl7.org/gf/project/patientcare/;;;23/05/2013 08:00
1018;1018;Decision Support Service IG;Clinical Decision Support Work Group;Services Oriented Architecture Work Group;Clinical;Kensaku Kawamoto;STU - Test Period/Accepting Comments;02/08/2013;28/07/2014;Ballot - STU to Normative;2023 May WGM/Ballot;Supplement to a Current Standard, IG;;http://wiki.hl7.org/index.php?title=Clinical_Decision_Support_Workgroup;;V3 Services-Web Services (OMG);06/06/2013 08:00
1030;1030;Virtual Medical Record for Clinical Decision Support (vMR-CDS)  Templates, Release 1 DSTU;Clinical Decision Support Work Group;Templates Work Group;Clinical;Kensaku Kawamoto;STU - Test Period/Accepting Comments;02/08/2013;28/10/2013;Ballot - Informative;2021 Sept WGM/Ballot;Create New Standard, Supplement to a Current Standard, IG;;http://wiki.hl7.org/index.php?title=Clinical_Decision_Support_Workgroup;;- New Product Definition -;24/07/2013 08:00
694;694;EDIS - Emergency Department Information System Functional Profile Version 2.0;Emergency Care Work Group;;Clinical;James McClay,;On Hold;;;Ballot - Informative;2022 Jan WGM/Ballot;Revise Current Standard;;"http://www.hl7.org/Special/committees/emergencycare/index.cfm
http://healthlevelseven.projectinsight.net in the Emergency Care Workgroup Folder";;Electronic Health Record;04/09/2013 08:00
1050;1050;HL7 Clinical Genomics Domain Information Model(s) (PSS in Confluence);Clinical Genomics Work Group;;Clinical;Robert Freimuth;Active Project (Resources assigned to pjt);13/11/2013;25/11/2013;Ballot - Comment;2022 Sept WGM/Ballot;Create New Standard; CG IM;"http://wiki.hl7.org/index.php?title=Clinical_Genomics_Domain_Information_Model(s)_Project

https://confluence.hl7.org/pages/viewpage.action?pageId=48235974";Yes;Domain Analysis Model (DAM);22/10/2013 08:00
1056;1056;Version 2.x Example Verification and Management;V2 Management Group;Infrastructure and Messaging Work Group, Orders and Observations Work Group, Vocabulary Work Group;Organizational Support;Brian Pech;Active Project (Resources assigned to pjt);18/11/2013;25/11/2013;- Other -;2019 Sept WGM/Ballot;;;http://wiki.hl7.org/index.php?title=V2_Examples_Requirements;;;18/11/2013 08:00
1068;1068;Lab Order Logical Specification R1 (application to FHIR);Orders and Observations Work Group;;Administrative;Eric Haas;On Hold;20/01/2014;04/08/2014;Ballot - STU to Normative;2025 May WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=Lab_Order_Template
FHIR svn repository";;;22/01/2014 08:00
1067;1067;Lab Order Conceptual Specification R2;Orders and Observations Work Group;;Administrative;Patrick E. Loyd;Informative - Reconcile;20/01/2014;03/02/2014;Ballot - Informative;2023 Jan WGM/Ballot;Revise Current Standard;;http://wiki.hl7.org/index.php?title=Lab_Order_Template;;Domain Analysis Model (DAM);22/01/2014 08:00
1069;1069;CDA IG for Ambulatory Healthcare Provider Reporting to Central Cancer Registries;Public Health Work Group;Clinical Quality Information Work Group, Structured Documents Work Group;Clinical;Wendy Blumenthal;STU - Test Period/Accepting Comments;07/07/2014;28/07/2014;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;;"https://confluence.hl7.org/display/PHWG/Public+Health+Registries+Reporting

http://www.hl7.org/Special/committees/structure/projects.cfm";;V3 Documents-Knowledge;03/02/2014 08:00
1093;1093;Provenance for Clinical Document Architecture (CDA R2) IG;Security Work Group;;Infrastructure;Johnathan Coleman;STU - Test Period/Accepting Comments;05/06/2014;30/06/2014;Ballot - STU to Normative;2021 Sept WGM/Ballot;IG;;CBCC will create a project wiki page at Community-Based Collaborative Care (CBCC) and upload key documents to CBCC gforge site.;;V3 Documents-Clinical (e.g. CDA);02/05/2014 08:00
1095;1095;EHR-S Func Reqs Doc for Laboratory Interoperability Transactions - EHR-S Func Reqs IG for LRI;Orders and Observations Work Group;Conformance Work Group, Electronic Health Records Work Group;Administrative;Riki Merrick, Robert Dieterle;STU - Preparing Ballot;23/05/2014;09/06/2014;Ballot - STU to Normative;2022 Sept WGM/Ballot;Create New Standard;;http://wiki.siframework.org/LRI+EHR-S+Functional+Requirements+IG;;;08/05/2014 08:00
1105;1105;PCWG Develop FHIR resources and profiles for the Next STU release.;Patient Care Work Group;;Clinical;Stephen Chu, David Hay;Active Project (Resources assigned to pjt);04/05/2014;15/08/2014;- Other -;2022 Sept WGM/Ballot;Supplement to a Current Standard;;"Resource content will be maintained in http://gforge.hl7.org/svn/fhir/trunk/source. Additional project tracking and supporting project documents will be kept here:

http://wiki.hl7.org/index.php?title=Referral_and_Transition/Transfer_of_Care";;;14/05/2014 08:00
1111;1111;Essential Information for Children with Special Health Care Needs;Patient Care Work Group;Emergency Care Work Group, Patient Care Work Group;Clinical;Russell Leftwich, Michael Padula, Pele Yu;Active Project (Resources assigned to pjt);18/06/2014;27/06/2014;Ballot - STU to Normative;2024 May WGM/Ballot;IG;;;;V3 Documents-Clinical (e.g. CDA);14/05/2014 08:00
1112;1112;HL7 CDA IG for Ambulatory Healthcare Provider Reporting to Birth Defect Registries;Public Health Work Group;Structured Documents Work Group;Clinical;Laura Rappleye;STU - Test Period/Accepting Comments;23/05/2016;19/07/2016;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;;"https://confluence.hl7.org/display/PHWG/Public+Health+Registries+Reporting

Project wiki: http://wiki.hl7.org/index.php?title=Birth_defect";;V3 Documents-Clinical (e.g. CDA);19/05/2014 08:00
1115;1115;OO FHIR DSTU Monitoring and Maintenance;Orders and Observations Work Group;;Administrative;Hans Buitendijk;Multiple Ballot Levels-See Ballot Cycle Info;28/07/2014;04/08/2014;Ballot - STU to Normative;2025 May WGM/Ballot;Revise Current Standard;;gForge/fhir;;;27/05/2014 08:00
1122;1122;C-CDA on FHIR;Structured Documents Work Group;;Infrastructure;Austin Kreisler, Grahame Grieve;STU - Test Period/Accepting Comments;24/10/2014;10/11/2014;Ballot - STU to Normative;2022 Sept WGM/Ballot;Supplement to a Current Standard, IG;;"FHIR artifacts:
http://gforge.hl7.org/svn/fhir/trunk

Project related materials:
http://gforge.hl7.org/svn/strucdoc/trunk/FHIR";;;25/06/2014 08:00
1125;1125;Harmonization of Health Quality Information Models - FHIR;Clinical Quality Information Work Group;Clinical Information Modeling Initiative Work Group, Clinical Decision Support Work Group;Clinical;Bryn Rhodes;STU - Test Period/Accepting Comments;06/02/2017;21/12/2017;Ballot - STU to Normative;2022 May WGM/Ballot;Revise Current Standard;QI Core, QUICK, FHIR Quality, QUICK Logical View;"http://www.hl7.org/implement/standards/fhir/qicore/qicore.html
http://hl7docs.appspot.com/quick/index.html";;;03/07/2014 08:00
1128;1128;Patient Care FHIR resource review;Patient Care Work Group;;Clinical;Jay Lyle, Michelle Miller;Active Project (Resources assigned to pjt);30/07/2014;18/08/2014;- Other -;2022 Jan WGM/Ballot;Revise Current Standard;;Project assets will be kept at https://confluence.hl7.org/display/PC/Patient+Care ;;;11/07/2014 08:00
1139;1139;Pharmacy Universal CDA Templates;Pharmacy Work Group;Structured Documents Work Group;Clinical;Melva Peters;STU - Test Period/Accepting Comments;15/09/2014;06/10/2014;Ballot - STU to Normative;2023 Sept WGM/Ballot;Supplement to a Current Standard;;"HL7 Wiki http://wiki.hl7.org/index.php?title=Pharmacy_Universal_Templates_Project
HL7 Document Repository http://www.hl7.org/Special/committees/medication/docs.cfm 
Template library (to be determined)";;V3 Documents-Clinical (e.g. CDA);12/09/2014 08:00
1142;1142;CQL-based HQMF IG;Clinical Quality Information Work Group;Clinical Decision Support Work Group;Clinical;Bryn Rhodes;STU - Test Period/Accepting Comments;06/10/2016;24/10/2016;Ballot - STU to Normative;2025 May WGM/Ballot;Revise Current Standard;CQL-based HQMF ;http://wiki.hl7.org/index.php?title=Harmonization_of_Health_Quality_Information_model;No;V3 Documents-Knowledge;03/10/2014 08:00
1146;1146;Unified Conformance and Constraint Modeling (previously known as Refinement, Constraint and Localization, Release 3);Conformance Work Group;Infrastructure and Messaging Work Group, Modeling and Methodology Work Group, Vocabulary Work Group;Infrastructure;Frank Oemig;On Hold;;;Ballot - Informative;2023 Jan WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;;"HL7 GForge: http://gforge.hl7.org/gf/project/hdf/
Wiki page: http://wiki.hl7.org/index.php?title=Unified_Conformance_Guidance";;"V2 Messages-Infrastructure; V3 Documents-Clinical (e.g. CDA); V3 Foundation-RIM; V3 Foundation-Vocab Domains & Value Sets";09/10/2014 08:00
1162;1162;Value Set Maintenance and Stewardship;Structured Documents Work Group;Vocabulary Work Group;Infrastructure;Brett Marquard;Active Project (Resources assigned to pjt);19/01/2015;16/02/2015;- Other -;2025 Sept WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;;;;- Non Product Project -;30/01/2015 08:00
1175;1175;Clinical Decision Support Big Picture IG;Arden Syntax Work Group;Clinical Decision Support Work Group, Clinical Quality Information Work Group;Infrastructure;Robert Jenders;Active Project (Resources assigned to pjt);01/11/2017;05/03/2018;Ballot - Informative;2022 Jan WGM/Ballot;IG;;http://wiki.hl7.org/index.php?title=CDS_Big_Picture_IG_Project;;- New Product Definition -;17/02/2015 08:00
1180;1180;Pilot WIKI Based Ballot Editing;Structured Documents Work Group;PEST Work Group, Publishing Work Group;Infrastructure;Benjamin Flessner;Active Project (Resources assigned to pjt);24/04/2015;04/05/2015;- Other -;2025 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);WIKI Editing ;http://wiki.hl7.org/index.php?title=WIKI_Editing_Project;;- Non Product Project -;16/03/2015 08:00
1181;1181;Mobile Framework for Healthcare Adoption of Short-Message Technologies (mFHAST);Mobile Health Work Group;Implementable Technology Specifications Work Group;Infrastructure;Nathan Botts;On Hold;24/04/2015;14/10/2015;Ballot - STU to Normative;2022 Jan WGM/Ballot;Create New Standard;Short Message Technologies: This workgroup will be using the term Short-Message Technologies (SMTs) to refer to the domain of technologies that utilize short-message mediums, commonly known as text messaging applications. Accordingly, the scope of this work is not specific to SMS, Twitter, iMessage etc., but is meant to encompass a broader range of activities that may use anyone of these technologies.;mFHAST Project Directory: http://wiki.hl7.org/index.php?title=MHWG_Projects_mFHAST;Don't Know;- New Product Definition -;19/03/2015 08:00
1182;1182;Consumer Mobile Health Application Functional Framework;Mobile Health Work Group;Electronic Health Records Work Group;Infrastructure;Tim McKay;STU - Reconcile;24/04/2015;22/09/2015;Ballot - Comment;2022 May WGM/Ballot;Create New Standard, Supplement to a Current Standard;"Mobile Health Framework; Consumer Health Mobile Framework ";TBD;No;- New Product Definition -;10/04/2015 08:00
1217;1217;Develop FHIR artifacts for clinical genomics;Clinical Genomics Work Group;Orders and Observations Work Group;Clinical;All Clinical Genomics Co-Chairs;STU - Reconcile;11/05/2015;15/05/2015;Ballot - STU to Normative;2022 Sept WGM/Ballot;Supplement to a Current Standard, IG;CG FHIR project, SMART Genomics on FHIR (portions of this project bring this work officially into HL7 mainstream vs green field activity) ;"http://wiki.hl7.org/index.php?title=ClinicalGenomics_FHIR_IG_Proposal

Main HL7 website Clinical Genomics document repository";Yes;;13/04/2015 08:00
1184;1184;FHIR Ontology and RDF Resource Representation Project;Implementable Technology Specifications Work Group;FHIR Management Group;Infrastructure;David Booth;Active Project (Resources assigned to pjt);11/05/2015;;Ballot - STU to Normative;2025 Jan WGM/Ballot;Revise Current Standard;FHIR Ontology ;TBD;Yes;FHIR Resources;24/04/2015 08:00
1192;1192;HL7 IG(s) for CDA Release 2 & FHIR Release 4: Healthcare Associated Infection Reports (PSS in Confluence);Structured Documents Work Group;;Infrastructure;Andrea Benin;Active Project (Resources assigned to pjt);09/06/2020;22/06/2020;Ballot - STU to Normative;2025 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard, IG;HAI CDA IG, NHSN CDA IG, HAI, HAI FHIR IG;"Updated PSS:  https://confluence.hl7.org/pages/viewpage.action?pageId=86966520

FHIR: https://github.com/HL7/HAI

http://wiki.hl7.org/index.php?title=Healthcare_Associated_Infection_Reports ";Yes;"FHIR IG; FHIR Profile";09/06/2015 08:00
1204;1204;HL7 IG for CDA® Release 2: Personal Advance Care Plan Document, Release 1;Structured Documents Work Group;Patient Care Work Group;Infrastructure;Lisa Nelson;STU - Test Period/Accepting Comments;28/09/2015;14/10/2015;Ballot - STU to Normative;2025 Sept WGM/Ballot;Supplement to a Current Standard, IG;"Universal Advance Digital Directive; uADD; Advance Directives; Personal Care Plan; Emergency, Critical, and Advance Care Plan; ECA Care Plan; ECACP; Advance Care Plan; ACP; Patient Generated Advance Care Plan, Patient Generated Advance Care Planning Document.";http://wiki.hl7.org/index.php?title=Advance_Care_Plan_Document;No;V3 Messages-Clinical;16/09/2015 08:00
1209;1209;Develop and maintain FHIR security resources;Security Work Group;;Infrastructure;John Moehrke;Active Project (Resources assigned to pjt);02/12/2015;08/12/2015;- Other -;2024 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;Security, Privacy, Authentication, Authorization, Audit, Confidentiality, Integrity, Availability, Provenance, Surveillance, Signature, Encryption, Key-Management, Permissions, CyberSecurity;HL7's SVN repository;Yes;;16/10/2015 08:00
1208;1208;HL7 Version 2.6 IG: Vital Records Death Reporting, DSTU 2 (US Realm);Public Health Work Group;Structured Documents Work Group;Clinical;Michelle Williamson, Hetty Khan;STU - Test Period/Accepting Comments;21/01/2016;13/06/2016;Ballot - STU to Normative;2021 Sept WGM/Ballot;IG;Vital Records, Death Reporting;"https://confluence.hl7.org/display/PHWG/Vital+Records

http://wiki.hl7.org/index.php?title=PHER_Vital_Records-Related_Activities ";Yes;V3 Documents-Clinical (e.g. CDA);16/10/2015 08:00
1207;1207;Develop and maintain FHIR Infrastructure resources;FHIR Infrastructure Work Group;;Infrastructure;Lloyd McKenzie;Active Project (Resources assigned to pjt);;;- Other -;2026 Jan WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;FHIR Infrastructure Conformance ;http://github.com/hl7/fhir;Yes;;16/10/2015 08:00
1212;1212;HL7 Attachments Supplemental Guide for the Exchange of C-CDA Based Documents -- IG DSTU Release 1;Payer/Provider Info Exchange Work Group;;Administrative;Craig Gabron and Robert Dieterle;Informative - Reconcile;06/10/2020;29/10/2015;Ballot - STU to Normative;2021 Sept WGM/Ballot;Create New Standard, Revise Current Standard, Supplement to a Current Standard, IG;"Attachments Supplement
Supplemental Guide for Attachments
Attachments Exchange
Attachments Exchange IG ";http://www.hl7.org/special/Committees/claims/docs.cfm;Yes;V3 Documents-Clinical (e.g. CDA);16/10/2015 08:00
1216;1216;Public Health Case Report Update;Public Health Work Group;Structured Documents Work Group;Clinical;Maribeth Gagnon (CDC);STU - Test Period/Accepting Comments;12/11/2015;22/12/2015;Ballot - STU to Normative;2024 May WGM/Ballot;Revise Current Standard, IG;Public Health reporting, Public Health Case reporting, Reportable conditions, Notice of Reportability;"https://confluence.hl7.org/display/PHWG/Public+Health+Case+Reporting

http://wiki.hl7.org/index.php?title=PHER_Public_Health_Case_Report_R2";Yes;;22/10/2015 08:00
1225;1225;Occupational Data for Health Data Elements and Structure for Consolidated CDA Social History Section;Structured Documents Work Group;Healthcare Standards Integration, Public Health Work Group;Infrastructure;Zachary May;STU - Test Period/Accepting Comments;29/12/2015;01/02/2016;Ballot - Comment;2025 Sept WGM/Ballot;Revise Current Standard, IG;ODH (Occupational Data for Health);TBD;Yes;V3 Documents-Clinical (e.g. CDA);17/12/2015 08:00
1232;1232;CDA and FHIR Pharmacist Care Plan IGs;Structured Documents Work Group;Pharmacy Work Group;Infrastructure;Scott Robertson;STU - Reconcile;17/07/2017;17/08/2017;Ballot - STU to Normative;2022 Jan WGM/Ballot;IG;Clinical Pharmacy Care Plan, Pharmacist Care Plan, Medication Therapy Management Care Plan ;https://confluence.hl7.org/pages/viewpage.action?pageId=31690434;Yes;V3 Documents-Clinical (e.g. CDA);02/02/2016 08:00
1234;1234;HL7 FHIR IG: CDS Hooks, Release 1;Clinical Decision Support Work Group, Clinical Quality Information Work Group;FHIR Infrastructure Work Group, Services Oriented Architecture Work Group;Administrative, Clinical;Bryn Rhodes;STU - Test Period/Accepting Comments;01/12/2017;21/12/2017;Ballot - STU to Normative;2023 May WGM/Ballot;Revise Current Standard, IG;CQF on FHIR, CDS on FHIR, FHIR eCQM, FHIR CDS Profiles, FHIR-based DSS IG, FHIR-based CDS KAS ;http://wiki.hl7.org/index.php?title=CDS_on_FHIR;No;"FHIR IG; FHIR Profile; FHIR Resources";04/02/2016 08:00
1239;1239;HL7 Pharmacy FHIR Updates;Pharmacy Work Group;;Clinical;Melva Peters;Active Project (Resources assigned to pjt);09/02/2016;22/02/2016;Ballot - STU;2022 Jan WGM/Ballot;Revise Current Standard;Pharmacy, Medication, Medication Order, Prescription, Medication Administration, Medication Statement, Dispense, Medication Dispense ;HL7's SVN repository.;Yes;;05/02/2016 08:00
1260;1260;Development and Maintenance of Immunization-related FHIR Resources;Public Health Work Group;;Clinical;Joginder Madra;Active Project (Resources assigned to pjt);26/04/2016;02/05/2016;- Other -;2020 Sept WGM/Ballot;Revise Current Standard;;https://confluence.hl7.org/display/PHWG/Immunization;Don't Know;;26/04/2016 08:00
1262;1262;Definition of negation requirements for standards;Patient Care Work Group;Modeling and Methodology Work Group, Vocabulary Work Group;Clinical;Jay Lyle;Informative - Reconcile;27/08/2016;07/11/2016;Ballot - Informative;2022 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;http://wiki.hl7.org/index.php?title=Representing_Negation;Yes;- Non Product Project -;06/05/2016 08:00
1274;1274;HL7 CDA R2 Periodontal Attachment IG: Exchange of C-CDA Based Documents, Release 1 - US Realm;Payer/Provider Info Exchange Work Group;Structured Documents Work Group;Administrative;Craig Gabron and Durwin Day;STU - Test Period/Accepting Comments;09/05/2016;11/07/2016;Ballot - STU to Normative;2022 Sept WGM/Ballot;Create New Standard, Revise Current Standard, Supplement to a Current Standard;Periodontal Attachment ;Http://www.hl7.org/special/committees/claims/docs.cfm;Yes;V3 Documents-Clinical (e.g. CDA);28/06/2016 08:00
1279;1279;C-CDA R2.1 Guidance on Documenting UDI and associated data for Implantable Medical Devices (C-CDA R.1 Volume 3 Update);Structured Documents Work Group;;Infrastructure;Brett Marquard;STU - Test Period/Accepting Comments;19/08/2016;10/02/2017;Ballot - STU to Normative;2025 Sept WGM/Ballot;Supplement to a Current Standard, IG;UDI, UDI Guidance for C-CDA ;Wiki page under Structured Documents UDI Workgroup ;Yes;V3 Documents-Clinical (e.g. CDA);13/09/2016 08:00
1290;1290;Occupational Data for Health (ODH) Elements and Structure in HL7 V2 Messaging and FHIR;Public Health Work Group;Clinical Quality Information Work Group, Healthcare Standards Integration, Orders and Observations Work Group, Patient Administration Work Group;Clinical;Stacey Marovich;STU - Test Period/Accepting Comments;16/12/2016;10/02/2017;Ballot - STU to Normative;2024 Jan WGM/Ballot;Revise Current Standard;ODH (Occupational Data for Health);"https://confluence.hl7.org/display/PHWG/Occupational+Data

Project information and documents will be posted at the project wiki page 
http://wiki.hl7.org/index.php?title=Occupational_Data_for_Health_(ODH))";Yes;FHIR Resources;10/10/2016 08:00
1293;1293;HL7 Version 2.8.2 IG: Immunization Messaging, Release 1 STU (US Realm);Public Health Work Group;Electronic Health Records Work Group;Clinical;Craig Newman;STU - Test Period/Accepting Comments;19/09/2016;04/10/2016;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;National immunization IG ;"https://confluence.hl7.org/display/PHWG/Immunization

http://wiki.hl7.org/index.php?title=Immunization_Project";Yes;V2 Messages-Clinical;11/10/2016 08:00
1294;1294;Laboratory Results Interface IG;Orders and Observations Work Group;Clinical Genomics Work Group, Public Health Work Group;Administrative;Riki Merrick, Hans Buitendijk;STU - Reconcile;18/10/2016;17/11/2016;Ballot - STU to Normative;2024 Sept WGM/Ballot;IG;LRI, ELR, Clinical Genomics, Public Health Reporting, Newborn Screening, Cancer Reporting (?NAACCR?), Ambulatory Lab Reporting.;http://www.hl7.org/Special/committees/orders/docs.cfm;Yes;V2 Messages-Clinical;11/10/2016 08:00
1292;1292;Specimen DAM Update;Orders and Observations Work Group;Biomedical Research and Regulation Work Group;Administrative;Riki Merrick;Informative - Request Publication;25/10/2016;17/11/2016;Ballot - Informative;2025 Sept WGM/Ballot;Revise Current Standard;Specimen DAM ;"Project Wiki page: http://wiki.hl7.org/index.php?title=Specimen
HL7 GForge/SVN - Enterprise Architect Models";;Domain Analysis Model (DAM);11/10/2016 08:00
